,title,artist,lyrics
425,Make Me... (feat. G-Eazy),Britney Spears,"Friday
I'm dreaming a mile a minute 'bout somebody
This feeling, I wanna go with it
'Cause there's no way
We're hiding away from this tonight, oh, this tonight
Can tell you want me
By the way I see you starin' 'cross the room, babe
No shame in the game
Just cut the shit, be honest
Yeah, you know what you gotta do tonight, do tonight

I just want you to make me move
Like it ain't a choice for you, like you got a job to do
Just want you to raise my roof
Something sensational (oh yeah)

And make me ooh, ooh, ooh, ooh
And make me ooh, ooh, ooh, ooh

No rules
From the bar to the car
Let's take it back to my room
Igniting the heat of the moment
Let the sparks fuse
Blowing up to the ceiling, we're burning bright
When we cut the light

Cause you're the flame I can't do without
The fire comes in, the sky falls down
There's no way I'm gonna be fighting this tonight, this tonight

I just want you to make me move
Like it ain't a choice for you, like you got a job to do
Just want you to raise my roof
Something sensational (oh yeah)

And make me ooh, ooh, ooh, ooh
And make me ooh, ooh, ooh, ooh

Baby, cause you're the spark that won't go out
My heart's on fire when you're around
Make me ooh, ooh, ooh, ooh
(Yeah, Eazy)

I don't care if it's a random person or the biggest star
Out in Vegas or little bars
Really not a difference if it's near or far
Listen, here we are; need you
I've always wondered what was off limits
Staring at you til I'm caught in this
Back and forth like this was all tennis
I'm all jealous, you came with someone
But we could tell that there's changes coming
See I could tell that you're a dangerous woman
That means you're speaking my language, come on
Now follow me, let's go
Like Penelope in ""Blow""
Well worth the stealing you, it's a felony, yeah I know
That's why they keep on telling me to let go, yeah

But I need you and I can take you
All the way and I'm able
To give you something sensational, so let's go, yeah
Said I need you and I can take you
All the way and I'm able
So follow me and I can make you

And make me ooh (move), ooh, ooh (yeah), ooh
And make me ooh, ooh, ooh, ooh

Baby, cause you're the spark that won't go out
My heart's on fire when you're around
Make me ooh, ooh, ooh, ooh
Yeah, you make me ooh"
426,Keeping Your Head Up,Birdy,"Times that I've seen you lose your way
You're not in control and you won't be told
All I can do to keep you safe
Is hold you close
Hold you close
Till you can breathe on your own
Till you can breathe on your own

Hold tight; you're slowly coming back to life
I'll be keeping your head up
I'll be keeping your head up, darling
Let go of all your haunted dreams tonight
I'll be keeping your head up
I'll be keeping your head up, darling
Hold tight; you're slowly coming back to life
I'll be keeping your head up
I'll be keeping your head up, darling
Let go of all your haunted dreams tonight
I'll be keeping your head up
I'll be keeping your head up
And I won't let you down

Everyone keeps a darker place
To lose control, you're not alone
And when you come looking for embrace
I know your soul; I'll be your home
Till you can breathe on your own
Till you can breathe on your own

Hold tight; you're slowly coming back to life
I'll be keeping your head up
I'll be keeping your head up, darling
Let go of all your haunted dreams tonight
I'll be keeping your head up
I'll be keeping your head up, darling
Hold tight; you're slowly coming back to life
I'll be keeping your head up
I'll be keeping your head up, darling
Let go of all your haunted dreams tonight
I'll be keeping your head up
I'll be keeping your head up
And I won't let you down

You never think that you can fly
You'll always swim against the tide
Don't you know your pain is mine?
And I would die a thousand times to ease your mind
To ease your mind

Hold tight; you're slowly coming back to life
I'll be keeping your head up
I'll be keeping your head up, darling
Let go of all your haunted dreams tonight
I'll be keeping your head up
I'll be keeping your head up, darling
Hold tight; you're slowly coming back to life
I'll be keeping your head up
I'll be keeping your head up, darling
Let go of all your haunted dreams tonight
I'll be keeping your head up
I'll be keeping your head up
And I won't let you down"
427,True Colors,Zedd,"Stars fall at my feet
Keep me grounded as I reach
Higher than I see, is there something there for me?
Pulling back the reins, letting go again
I'm not afraid, I'm not

All my life, one page at a time
I'll show you my, my true colors
No I won't apologize for the fire in my eyes
Let me show you my, my true colors
It ain't no rainbow

A promise with the light, is broken by design
What we thought we knew, has been swallowed by the truth
It's time to light the flame, right before it rains
I'm not afraid, I'm not

All my life, one page at a time
I'll show you my, my true colors
No I won't apologize for the fire in my eyes
Let me show you my, my true colors
It ain't no rainbow

Something tells me, I know nothing at all
We've escaped our capture
Yet we have our masters
And somehow it's like I've waited

All my life, one page at a time
I'll show you my, my true colors
No I won't apologize for the fire in my eyes
Let me show you my, my true colors
It ain't no rainbow"
428,Make Me Like You,Gwen Stefani,"I was fine before I met you
I was broken but fine
I was lost and uncertain
But my heart was still mine
I was free before I met you
I was broken but free
All alone in the clear view, but now you are all I see

Hey, wait a minute
No, you can't do this to me
Hey, wait a minute
No, that's not fair
Hey, wait a minute
You're on me like jewelry
I really like you, but I'm so scared

Why'd you have to go and make me like you?
Yeah this is a feeling I'm not used to
Why'd you have to go and make me like you?
I'm so mad at you cause now you got me missing you
Cause now you got me missing you

Something I could get used to
I could get used to this
It's getting harder to leave it
Your lips on my lips
Oh, I can't believe it
How good it could be
Didn't wanna believe it, but now you are all I see

Hey, wait a minute
No, you can't do this to me
Hey, wait a minute
No, that's not fair
Hey, wait a minute
You're on me like jewelry
I really like it, but I'm so scared

Why'd you have to go and make me like you?
Yeah this is a feeling I'm not used to
Why'd you have to go and make me like you?
I'm so mad at you cause now you got me missing you
Cause now you got me missing you

Why'd you have to go and make me like you?
Yeah this is a feeling I'm not used to
Why'd you have to go and make me like you?
I'm so mad at you cause now you got me missing you
Cause now you got me missing you

Oh God, thank God I found you
Oh God, cause now you got me missing you
Oh God, thank I found you
I'm so mad at you cause now you got me missing you
Thank God
Thank God that I found you, oh
Now you got me missing you
Now you got me missing you

Why'd you have to go and make me like you?
Yeah this is a feeling I'm not used to
Why'd you have to go and make me like you?
I'm so mad at you cause now you got me missing you
Cause now you got me missing you

Oh God, thank God I found you
Oh God, cause now you got me missing you
Oh God, thank I found you
I'm so mad at you cause now you got me missing you"
429,Champagne Problems,Nick Jonas,"How many times have we been here before?
How many pieces have to break?
So many reasons not to celebrate
But I hate to see you cry so let's drink before goodbye

I got a bottle I've been saving up
Thought that we'd drink it all night, hey
We were the opposite of breaking up
Can't believe I'm losing you
We just opened up too soon

We got champagne problems
Only one way to solve 'em
Raising our glass cause it's our loss
With these champagne problems
Just keep on, keep on drinking
Keep on, keep on drinking
Keep on, keep on

How did our clothes end up on the floor?
Didn't we just break each other's hearts?
Didn't you have one foot out the door?
Better to fall in love than lose
I wish I didn't have to choose

We got champagne problems
Only one way to solve 'em
Raising our glass cause it's our loss
With these champagne problems
Just keep on, keep on drinking
Keep on, keep on drinking
Keep on, keep on

We got champagne problems
Oh my God, the room is spinning from the Perignon
And you're still with me but you're very gone
It feels so right but we both know it's wrong
When you got, when you got, when you got

We got champagne problems
Only one way to solve 'em
Raising our glass cause it's our loss
With these champagne problems
Just keep on, keep on drinking
Keep on, keep on drinking
Keep on, keep on
Champagne problems
Only one way to solve 'em
Raising our glass cause it's our loss
With these champagne problems
Just keep on, keep on drinking
Keep on, keep on drinking
Keep on, keep on

We got champagne problems"
430,Blown,DNCE,"I stare at you for so long
You watched me just as strong
It feels right bein' wrong
Never thought I'd get you, no
But here you are at my front door

The less you show, the more you get
It doesn't matter if you're feelin' it
Put down your phone, don't send that pic
They won't come back
unless they're missin' it

But now that I got ya
It keeps gettin' hard to
I don't wanna watch, uh

My mind's blown (ooh)
My mind's blown (ooh)
Down to my toes (ooh)
My mind's blown (ooh) (yeah, yeah, yeah)

I'll never let you go (never let you go!)
My sweet tooth is too strong, yeah
Your sugar is my home (sugar is my home!)
Never thought I'd get you, no
But here you are at my front door

The less you show, the more you get
It doesn't matter if you're feelin' it
Put down your phone, don't send that pic
They won't come back
unless they're missin' it

But now that I got ya
It keeps gettin' hard to
I don't wanna watch, uh

My mind's blown (ooh)
My mind's blown (ooh)
Down to my toes (ooh)
My mind's blown (ooh)

I know you act like you don't want it
Girl, I know you need it
'Cause you be actin' like my woman
Every time you see me
My mind blown

I wanna pebble, I wanna marble
I wanna stone, I wanna rock, rock right now
I rock bass and she came to get down
She said, In honesty
he wasn't fly when I met him
She said, You're separate, Kent
you're fly on another level
I call it melody 'cause I gotta hit falsetto
She said, No strings attached, so Gipetto
Had a couple side puppets
just to make her feel special
I like girls that niggas lookin' on to comment
On my mama, Keke Palmer, I'm just bein' honest
She gon' play hard to get now that
she know I want it
But I'm sure to break her off
before I break a promise
Leavin' Memphis, on my way to Nash
Head while I'm drivin', almost made me crash
I hate smartmouth girls that fuck the vibe up
She jumped out the window and
hit the Stacey Dash

But now that I got ya
It keeps gettin' hard to
I don't wanna watch, uh

My mind's blown (ooh)
My mind's blown (ooh)
Down to my toes (ooh) (hey!)
My mind's blown (ooh)

OOh
OOh (oh, my mind's blown)
OOh
OOh
My mind's blown"
431,Start,John Legend,
432,Pep Rally,Missy Elliott,"Uptown, downtown
Everywhere we get down
It's 'bout to go down
Are you ready? On your mark
Get set, let's go
It goes left foot, it goes right foot
It goes left foot, it goes right foot
Catch the wall, touch them toes
Turn around like it's gold
Back it up, back it up, so you know you got control

Let me hit you with that
Pep rally, pep rally, pep rally
Oh, this a pep rally
Pep rally, pep rally, pep rally
Oh, this a pep rally

Pep rally, my friends be at the pep rally
Screaming and shaking, man, we at the pep rally
Aw, aw, aw, go 'head and dip at it
The go-go playing my jam, now let me shake my jelly
Jumping and thumping, man, I got the crowd yelling
Get it, and kick it, kick it, kick it, there's no telling
Aw, aw, aw, you better move Ellen
I got a nice round woo like a watermelon
Aw, yeah you play the point guard
Hitting three corners, man, they playing real hard
My team be with it, yeah, so keep your day job
I turn around and make it bounce like a basketball

Bounce, biggity bounce, biggity-biggity bounce, bounce
Where my clappers that stomp? Now rock with it
Bounce, biggity bounce, biggity-biggity bounce, bounce
Where my clappers that stomp? Now rock with it
Clappers that stomp, clappers that
Clappers that stomp, clappers that
Clappers that stomp, clappers that
Clappers that stomp, clappers that
Clappers that stomp, clappers that
Clappers that stomp, clappers that
Clappers that, clappers that stop
Clappers that stomp

Uptown, downtown
Everywhere we get down
It's 'bout to go down
Are you ready? On your mark
Get set, let's go
It goes left foot, it goes right foot
It goes left foot, it goes right foot
Catch the wall, touch them toes
Turn around like it's gold
Back it up, back it up, so you know you got control

Let me hit you with that
Pep rally, pep rally, pep rally
Oh, this a pep rally
Pep rally, pep rally, pep rally
Oh, this a pep rally

Rocking not stopping
bend over go 'head touch your toes
Get it, now get it, now let your bottom scrape the floor
Bouncing and bouncing, now stop, drop, rock and roll
And yeah we get crackin' like we up at the Superbowl
Aw, quarterback on the field
Football player running yard, got skills
At the ball game, pep rally over here
The band in the stands, shit just got real
Turn out, turn out, turn out, turn out, turn out
Turn out, turn out, turn out, turn out, turn out
Turn out, turn out, turn out, turn out, turn out
Like a basketball lover, make 'em bounce

Bounce, biggity bounce, biggity-biggity bounce, bounce
Where my clappers that stomp? Now rock with it
Bounce, biggity bounce, biggity-biggity bounce, bounce
Where my clappers that stomp? Now rock with it
Clappers that stomp, clappers that
Clappers that stomp, clappers that
Clappers that stomp, clappers that
Clappers that stomp, clappers that
Clappers that stomp, clappers that
Clappers that stomp, clappers that
Clappers that, clappers that stop
Clappers that stomp

Uptown, downtown
Everywhere we get down
It's 'bout to go down
Are you ready? On your mark
Get set, let's go
It goes left foot, it goes right foot
It goes left foot, it goes right foot
Catch the wall, touch them toes
Turn around like it's gold
Back it up, back it up, so you know you got control

Well let me hit you with that
Turn around, rotate
Feel that, let it vibrate
Two-step, let your body sway
This a battle of the bands, this a drum break
Majorettes on the school yard
Where my drum majors? Pull out your bullhorn
Fools be getting drunk, acting like morons
The football team be winning get your score on
Oh, oh yeah this a pep rally
Murkin' and working yeah this be a pep rally
Kicking, kick it, kick it, you better move Ellen
I'm 'bout to whip it, whip it like potato salad
Aw, yeah, now get your groove back
Aw, yeah, you better do that
Aw, yeah, this be a roll call
When this song come on
bounce your ass like a basketball

Bounce, biggity bounce, biggity-biggity bounce, bounce
Where my clappers that stomp? Now rock with it
Bounce, biggity bounce, biggity-biggity bounce, bounce
Where my clappers that stomp? Now rock with it
Clappers that stomp, clappers that
Clappers that stomp, clappers that
Clappers that stomp, clappers that
Clappers that stomp, clappers that
Clappers that stomp, clappers that
Clappers that stomp, clappers that
Clappers that, clappers that stop
Clappers that stomp

Round up the clappers let's go, oh yeah
Round up the clappers let's go, oh yeah
Round up the clappers let's go, oh yeah
Clappers, clappers, clappers, clappers"
433,Higher,Carly Rae Jepsen,"I was lost, alone and searchin'
For someone who understands
Me for who I really am
Didn't know that I was hurtin'
'Til you lift me up inside
Finally opened up my eyes, oh

[Pre-Chorus]
If you wanna know what I'm thinkin'
Ever since you came I'm livin'
On top of the world, I can't deny
Every one of my fears has vanished
And I don't know how you managed
To wake me up and come alive

[Chorus]
You take me higher than the rest (hey)
Oh, everybody else is second best 
(oh oh oh-oh)
You pulled a gem out of the mess
I was so cynical before, I must confess
Oh, you got me 
Hi-I-igh (hey), hi-I-igh (hey), hi-I-igher
Oh you got me 
Hi-I-igh (hey), hi-I-igh (hey), hi-I-igher

[Verse 2]
Toss and turn, a few mistakes but
You crept in and showed me how
Never let me hit the ground
All the love was hesitating
But ever since you came around
I feel more than safe and sound, yeah

[Pre-Chorus]
If you wanna know what I'm thinkin'
Ever since you came I'm livin'
On top of the world, I can't deny
Every one of my fears has vanished
And I don't know how you managed
To wake me up and come alive

[Chorus]
You take me higher than the rest (hey)
Oh, everybody else is second best 
(oh oh oh-oh)
You pulled a gem out of the mess
I was so cynical before, I must confess
Oh, you got me 
Hi-I-igh (hey), hi-I-igh (hey), hi-I-igher
Oh you got me 
Hi-I-igh (hey), hi-I-igh (hey), hi-I-igher

[Bridge]
Oh, yeah, your love (hey)
Turns me on (hey)
Gets me higher 
(oh oh oh-oh)
Oh, yeah, your love (hey)
Takes me up (hey)
Gets me higher 
(oh oh oh-oh)
Oh, yeah, your love (hey)
Turns me on (hey)
Gets me higher 
(oh oh oh-oh)
Oh, yeah, your love (hey)
Takes me up (hey)
Gets me higher

[Chorus]
You take me higher than the rest (hey)
Oh, everybody else is second best 
(Oh oh oh-oh)
(Second best, second best!)
You pulled a gem out of the mess
I was so cynical before, I must confess
Oh, you got me 
Hi-I-igh (hey), hi-I-igh (hey), hi-I-igher
Oh, you got me 
Hi-I-igh (hey), hi-I-igh (hey)
Hi-I-igher (higher, higher)
Oh, you got me 
Hi-I-igh (hey), hi-I-igh (hey)
Hi-I-igher (Oh oh oh-oh)
Oh, you got me 
Hi-I-igh, hi-I-igh, hi-I-igher (higher)
Oh, you got me"
434,Invitation,Britney Spears,"You evoke the feeling
This feeling I've been dreaming of
I'm ready to reveal it
Let inhibitions come undone

Yes or no, but no maybes
Not gonna beg, so don't make me
Yes or no, but no maybes

Here's my invitation, baby
Hope it sets us free
To know each other better
Put your love all over me
Here's my invitation, baby
Come feel my energy
We give emotions to each other
Put your love all over me
Put your love all over me
Put your love all over

I know it might seem crazy
But I'ma put you in this blindfold
I just need you to trust me
Oh, that you see more with your eyes closed

Yes or no, but no maybes
Not gonna beg, so don't make me
Yes or no, but no maybes

Here's my invitation, baby
Hope it sets us free
To know each other better
Put your love all over me
Here's my invitation, baby
Come feel my energy
We give emotions to each other
Put your love all over me
Put your love all over me
Put your love all over

Feel it now
Feeling something, kinda thinking out loud
Feeling something, kinda thinking right now, right now
We could be right, right now
Right now

Here's my invitation, baby
Hope it sets us free
To know each other better
Put your love all over me
Here's my invitation, baby
Come feel my energy
We give emotions to each other
Put your love all over me
Put your love all over me
Put your love all over"
435,One Call Away (feat. Tyga) - Remix,Charlie Puth,
436,Beautiful Birds (feat. Birdy),Passenger,"Do you remember when we were two beautiful birds?
We would light up the sky when we'd fly
You were orange and red like the sun when it sets
I was green as an apple's eye

You said you loved all the songs that I'd sing
Like nothing that you'd ever heard
And I said I loved you with all of my heart when
We were two beautiful birds

Do you remember when we were two beautiful birds
We would sing when the morning would come
You were silver and blue like the moon when it's new
I was gold as a summer sun

But one day you asked for a different song
One that I just couldn't sing
I got the melody sharp and the words all wrong
Those were the last days of spring

To build a nest we pecked
Feathers from our chests
Like a book tearing out every page
We weren't to know that these feathers would grow
Into a beautiful cage"
437,Little Lies,Hilary Duff,"If I could turn the page
In time then I'd rearrange just a day or two
But I couldn't find a way
So I'll settle for one day to believe in you

Tell me lies
Tell me sweet little lies
(Tell me lies)
Oh, no, no you can't disguise
(You can't disguise)
Tell me lies
Tell me sweet little lies

Tell me, tell me lies
Tell me, tell me lies

Although I'm not making plans
I hope that you understand there's a reason why
No more broken hearts
We're better off apart let's give it a try

Tell me lies
Tell me sweet little lies
(Tell me lies)
Oh, no, no you can't disguise
(You can't disguise)
Tell me lies
Tell me sweet little lies

Tell me, tell me lies
Tell me, tell me lies
Tell me, tell me lies

Tell me lies
Tell me sweet little lies
Tell me, tell me lies
Oh, no, no you can't disguise
(You can't disguise)
Tell me lies
Tell me sweet little lies
Tell me, tell me lies
Oh, no, no you can't disguise
Oh no, just tell me lies"
438,Do You Wanna Come Over?,Britney Spears,
439,BURNITUP!,Janet Jackson,"Fire in the house
Burn that son of a

Whooo, I'ma shut this down
Kitty kat, meow, meow, meow, meow, meow
Hit it with the he, to the he to the how
Miss Jackson, oh she wear the crown
Brand new sound, got a brand new style
Coming with the banger like Boom Boom Pow
Wow, ooh, ooh, ooh, child
Janet Jackson come soon to your town

I am never gon', gonna go nowhere
Quick to brag nigga, know I been right here
Lately I've been on, on a mission yeah
That I may never get another move, yeah

So tell me what you wanna do? Louder
But don't do nothin' stupid
What is happening in front of you
All it is is love in the booth
Let's go

When the DJ play this we gon' dance like no one's watching
Hey Mr DJ, bump the track and won't you turn it up?
I'ma dance all night and I don't care who's out there watching us
Just give me that fire and
I'm gonna show you how to burn it up

Hurt your body, burn it up more
Burn it up and burn it up more
Hurt your body, burn it up more
That's how I burn it up

Ain't no sittin' down, gotta keep it up
Me and Missy got the whole room jumpin' up (that's right)
Instant motion from the second it drop
We get ahead with the beat is so hot, hot

So tell me what you wanna do? Louder
But don't do nothin' stupid
What is happening in front of you
All it is is love in the booth
Here we go
When the DJ play this we gon' dance like no one's watching
Hey Mr DJ bump the track and won't you turn it up
I'ma dance all night and I don't care who's out there watching us
Just give me that fire, I'ma show you how to burn it up

When the DJ play this we gon' dance like no one's watching
Hey Mr DJ bump the track and won't you turn it up
I'ma dance all night and I don't care who's out there watching us
Just give me that fire, I'ma show you how to burn it up

Hurt your body, burn it up more
Burn it up and burn it up more
Hurt your body, burn it up more
Burn it up and burn it up more

Now this your jam, now do your dance
This that jam, now do your dance
This that jam, now do your dance
This that jam, now do your dance
Make it work, make it work, make it work (work)
Make it work, make it work, make it work (drop)
Make it work, make it work, make it work (come on, girls)
Make it work, make it work, make it work (sing this song with me)

Tonight, we gon' go all together
Let me see your hands up high
(Hurt your body, burn it up more)
Wanna come with me and take a ride
(Hurt your body, burn it up more)
Baby this is how I do it
Ah, we feeling good
Ah, we in this place
Ah, now bring that beat back, Mr DJ

When the DJ play this we gon' dance like no one's watching
Hey Mr DJ bump the track and won't you turn it up
I'ma dance all night and I don't care who's out there watching us
Just give me that fire, I'ma show you how to burn it up

Hurt your body, burn it up more
Burn it up and burn it up more
Hurt your body, burn it up more
That's how I burn it up
That's how I burn it up
That's how I burn it up
That's how I burn it up
That's how I burn it up
That's how I burn it up
That's how I burn it up"
440,Picky - Remix,Joey Montana,
441,Behind Your Back,Nelly Furtado,
442,Million Years Ago,Adele,"I only wanted to have fun
Learning to fly
 Learning to run
I let my heart decide the way
When I was young
Deep down I must have always known
That this would be inevitable
To earn my stripes I'd have to pay
And bear my soul

I know I'm not the only one
Who regrets the things they've done
Sometimes I just feel it's only me
Who can't stand the reflection that they see
I wish I could live a little more
Look up to the sky, not just the floor

I feel like my life is flashing by
And all I can do is watch and cry
I miss the air, I miss my friends
I miss my mother, I miss it when
Life was a party to be thrown
But that was a million years ago

When I walk around all of the streets
Where I had grew up and found my feet
They can't look me in the eye
It's like they're scared of me
I try to think of things to say
Like a joke or a memory
But they don't recognize me now
In the light of day

I know I'm not the only one
Who regrets the things they've done
Sometimes I just feel it's only me
Who never became who they thought they'd be
I wish I could live a little more
Look up to the sky, not just the floor
I feel like my life is flashing by
And all I can do is watch and cry
I miss the air, I miss my friends
I miss my mother, I miss it when
Life was a party to be thrown
But that was a million years ago
A million years ago"
443,Shape of You,Ed Sheeran,"The club isn't the best place to find a lover
So the bar is where I go
Me and my friends at the table doing shots
Drinking faster and then we talk slow
Come over and start up a conversation with just me
And trust me I'll give it a chance now
Take my hand, stop
Put Van The Man on the jukebox
And then we start to dance
And now I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body
Oh-I-oh-I-oh-I-oh-I
I'm in love with your body
Oh-I-oh-I-oh-I-oh-I
I'm in love with your body
Oh-I-oh-I-oh-I-oh-I
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you

One week in we let the story begin
We're going out on our first date
You and me are thrifty
So go all you can eat
Fill up your bag and I fill up a plate
We talk for hours and hours about the sweet and the sour
And how your family is doing okay
Leave and get in a taxi, then kiss in the backseat
Tell the driver make the radio play
And I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body
Oh-I-oh-I-oh-I-oh-I
I'm in love with your body
Oh-I-oh-I-oh-I-oh-I
I'm in love with your body
Oh-I-oh-I-oh-I-oh-I
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you

Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you"
444,Closer,The Chainsmokers,"Hey, I was doing just fine before I met you
I drink too much and that's an issue but I'm okay
Hey, you tell your friends it was nice to meet them
But I hope I never see them again

I know it breaks your heart
Moved to the city in a broke down car
And four years, no calls
Now you're looking pretty in a hotel bar
And I can't stop
No, I can't stop

So baby pull me closer in the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever getting older

We ain't ever getting older
We ain't ever getting older

You look as good as the day I met you
I forget just why I left you, I was insane
Stay and play that Blink-182 song
That we beat to death in Tucson, okay

I know it breaks your heart
Moved to the city in a broke down car
And four years, no call
Now I'm looking pretty in a hotel bar
And I can't stop
No, I can't stop

So baby pull me closer in the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever getting older

We ain't ever getting older
We ain't ever getting older

So baby pull me closer in the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever getting older
We ain't ever getting older (we ain't ever getting older)
We ain't ever getting older (we ain't ever getting older)
We ain't ever getting older (we ain't ever getting older)
We ain't ever getting older

We ain't ever getting older
No we ain't ever getting older"
445,Starboy,The Weeknd,
446,Treat You Better,Shawn Mendes,"I won't lie to you
I know he's just not right for you
And you can tell me if I'm off
But I see it on your face
When you say that he's the one that you want
And you're spending all your time
In this wrong situation
And anytime you want it to stop

I know I can treat you better
Than he can
And any girl like you 
deserves a gentleman
Tell me why are we wasting time
On all your wasted crying
When you should be with me instead
I know I can treat you better
Better than he can

I'll stop time for you
The second you say 
You'd like me too
I just wanna give you the loving
That you're missing
Baby, just to wake up with you
Would be everything I need
And this could be so different
Tell me what you want to do

'Cause I know I can treat you better
Than he can
And any girl like you 
deserves a gentleman
Tell me why are we wasting time
On all your wasted crying
When you should be with me instead
I know I can treat you better
Better than he can
Better than he can

Give me a sign
Take my hand, we'll be fine
Promise I won't let you down
Just know that you don't
Have to do this alone
Promise I'll never let you down


'Cause I know I can treat you better
Than he can
And any girl like you 
deserves a gentleman
Tell me why are we wasting time
On all your wasted crying
When you should be with me instead
I know I can treat you better
Better than he can
Better than he can
Better than he can
Better than he can
Better than he can"
447,That's What I Like,Bruno Mars,"I got a condo in manhattan
Baby girl, what's hatnin'?
You and your ass invited
So gon' and get to clappin'
So pop it for a pimp
Pop, pop it for me
Turn around and drop it for a pimp
Drop, drop it for me
I'll rent a beach house in miami
Wake up with no jammies
Lobster tail for dinner
Julio serve that scampi
You got it if you want it
Got, got it if you want it
Said you got it if you want it
Take my wallet if you want it now

Jump in the cadillac, girl
Let's put some miles on it
Anything you want, just to put a smile on it
You deserve it baby, you deserve it all
And I'm gonna give it to you

Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like
That's what I like
Lucky for you, that's what I like
That's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like
That's what I like
Lucky for you, that's what I like
That's what I like

I'm talkin' trips to Puerto Rico
Say the word and we go
You can be my freaka
Girl, I'll be on fleek, ah, mamicita
I will never make a promise
That I can't keep
I promise that you'll smile
And gon' never leave
Shopping sprees in paris
Everything 24 karats
Take a look in that mirror
Now tell me who's the fairest
Is it you? (is it you?) is it me? (is it me?)
Say it's us (say it's us)
And I'll agree, baby

Jump in the cadillac, girl
Let's put some miles on it
Anything you want, just to put a smile on it
You deserve it baby, you deserve it all
And I'm gonna give it to you

Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like
That's what I like
Lucky for you, that's what I like
That's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like
That's what I like
Lucky for you, that's what I like
That's what I like

If you say you want a good time
Well here I am baby, here I am baby
Talk to me, talk to me, talk to me
Tell me what's on your mind
If you want it, girl come and get it
All this is here for you
Tell me baby, tell me, tell me baby
What you tryna do

Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like
That's what I like
Lucky for you, that's what I like
That's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like
That's what I like
Lucky for you, that's what I like
That's what I like"
